Game Name,GA Game Code,Vendor,Category,Released Date,Game Status,Remark,Month
Le Digger,HSD_2229,Hacksaw,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Le Digger 94,HSD_2230,Hacksaw,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Sand and Ashes,HSD_2243,Hacksaw,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Sand and Ashes 94,HSD_2244,Hacksaw,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Magic Piggy OG,HSD_2258,Hacksaw,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Magic Piggy OG 94,HSD_2259,Hacksaw,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Red Rascal,HSD_2274,Hacksaw,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Red Rascal 94,HSD_2275,Hacksaw,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
3 Cursed Chests: Hold & Win,HSD_2296,Hacksaw,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
3 Cursed Chests: Hold & Win 94,HSD_2297,Hacksaw,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Xpander,HSD_1093A,Hacksaw,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Le Hooligan,HSD_2470,Hacksaw,电子 Slots,25/6/2026,新上架游戏 Newly Added Games,,June 2026
Le Hooligan 94,HSD_2471,Hacksaw,电子 Slots,25/6/2026,新上架游戏 Newly Added Games,,June 2026
Xpander,HSD_1093,Hacksaw,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Buffalo Bonanza Hold and Win,GPKICONIC_launch_buffalo_bonanza_hold_and_win,Iconic21,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Buffalo Bonanza Hold and Win,GPKICONIC_launch_buffalo_bonanza_hold_and_win_94,Iconic21,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Prime Blackjack 3,GPKICONIC_launch_instant_baccarat,Iconic21,真人 Live,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Private Blackjack 1,GPKICONIC_launch_prime_bj_3,Iconic21,真人 Live,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Squeeze Baccarat,GPKICONIC_launch_private_bj_1,Iconic21,真人 Live,1/6/2026,新上架游戏 Newly Added Games,,June 2026
88 Lucky Coins,GPKICONIC_launch_slots_88_lucky_coins_94,Iconic21,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
88 Lucky Coins,GPKICONIC_launch_slots_88_lucky_coins,Iconic21,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Next Move,GPKICONIC_launch_rng_arrow_1_94,Iconic21,真人 Live,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Next Move,GPKICONIC_launch_rng_arrow_1,Iconic21,真人 Live,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Penalty National Cup,INOUT_penalty-nations-cup,Inout,迷你游戏 Mini game,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Derby King,JDB_0_121006,JDB,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Golden Hoof Quest,JDB_0_121005,JDB,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Lucky Macaw,JL_598,Jili,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Fortune Hook Boom,JL_594,Jili,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Supernova,JL_597,Jili,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Devil Fire Twins,JL_593,Jili,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Crash Fruit,JL_653,Jili,迷你游戏 Mini game,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Break The Bank,QM_KMQM_Break_The_Bank,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Diamond King,QM_KMQM_Diamond_King,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Redbeard Treasures,QM_KMQM_Redbeard_Treasures,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Aces Of Noble,QM_KMQM_Aces_Of_Noble,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Magic Pearls,QM_KMQM_Magic_Pearls,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Wild Miner,QM_KMQM_Wild_Miner,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
The Big The Fat And The Ugly,QM_KMQM_The_Big_The_Fat_And_The_Ugly,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Eyes Of Ra,QM_KMQM_Eyes_Of_Ra,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Lady Of Ra,QM_KMQM_Lady_Of_Ra,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
White Elephant,QM_KMQM_White_Elephant,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Golden Fortune Horse,QM_KMQM_Golden_Fortune_Horse,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Mahjong Dragon Ways,QM_KMQM_Mahjong_Dragon_Ways,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Treasures of Olympus 1000,QM_KMQM_Treasures_of_Olympus_1000,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Aztec Fortune,QM_KMQM_Aztec_Fortune,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Sugar Candy Bonanza,QM_KMQM_Sugar_Candy_Bonanza,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Cleopatra's Fortune Ways,QM_KMQM_Cleopatras_Fortune_Ways,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Baccarat:Multi,QM_KMQM_Baccarat_Multi,KingMidas,棋牌 Poker,1/6/2026,新上架游戏 Newly Added Games,,June 2026
